,Date,Season,home,visitor,FT,hgoal,vgoal,hconf,vconf,totgoal,round,leg,hgoalaet,vgoalaet,hpen,vpen
2625,2009-08-23,2009,Houston Dynamo,Seattle Sounders,1-1,1,1,West,West,2,regular,,,,,
2626,2009-08-26,2009,Real Salt Lake,CD Chivas USA,4-0,4,0,West,West,4,regular,,,,,
2627,2009-08-29,2009,Seattle Sounders,Toronto FC,0-0,0,0,West,East,0,regular,,,,,
2628,2009-08-29,2009,New England Revolution,San Jose Earthquakes,2-1,2,1,East,West,3,regular,,,,,
2629,2009-08-29,2009,Chicago Fire,DC United,0-1,0,1,East,East,1,regular,,,,,
2630,2009-08-29,2009,Sporting Kansas City,Real Salt Lake,0-1,0,1,East,West,1,regular,,,,,
2631,2009-08-30,2009,LA Galaxy,CD Chivas USA,1-0,1,0,West,West,1,regular,,,,,
2632,2009-08-30,2009,Colorado Rapids,Houston Dynamo,1-0,1,0,West,West,1,regular,,,,,
2633,2009-08-30,2009,New York Red Bulls,Columbus Crew,1-0,1,0,East,East,1,regular,,,,,
2634,2009-09-05,2009,New England Revolution,Sporting Kansas City,2-4,2,4,East,East,6,regular,,,,,
2635,2009-09-05,2009,FC Dallas,DC United,2-2,2,2,West,East,4,regular,,,,,
2636,2009-09-06,2009,Colorado Rapids,Toronto FC,1-0,1,0,West,East,1,regular,,,,,
2637,2009-09-09,2009,DC United,Sporting Kansas City,1-0,1,0,East,East,1,regular,,,,,
2638,2009-09-12,2009,Toronto FC,Colorado Rapids,3-2,3,2,East,West,5,regular,,,,,
2639,2009-09-12,2009,New York Red Bulls,Sporting Kansas City,0-1,0,1,East,East,1,regular,,,,,
2640,2009-09-12,2009,DC United,Seattle Sounders,1-2,1,2,East,West,3,regular,,,,,
2641,2009-09-12,2009,Real Salt Lake,Chicago Fire,1-1,1,1,West,East,2,regular,,,,,
2642,2009-09-13,2009,LA Galaxy,FC Dallas,3-6,3,6,West,West,9,regular,,,,,
2643,2009-09-13,2009,CD Chivas USA,New England Revolution,2-0,2,0,West,East,2,regular,,,,,
2644,2009-09-13,2009,Columbus Crew,Houston Dynamo,2-1,2,1,East,West,3,regular,,,,,
2645,2009-09-18,2009,New York Red Bulls,New England Revolution,1-1,1,1,East,East,2,regular,,,,,
2646,2009-09-19,2009,San Jose Earthquakes,Colorado Rapids,1-1,1,1,West,West,2,regular,,,,,
2647,2009-09-19,2009,Seattle Sounders,CD Chivas USA,0-0,0,0,West,West,0,regular,,,,,
2648,2009-09-19,2009,Houston Dynamo,Real Salt Lake,3-2,3,2,West,West,5,regular,,,,,
2649,2009-09-19,2009,Sporting Kansas City,FC Dallas,3-2,3,2,East,West,5,regular,,,,,
2650,2009-09-20,2009,LA Galaxy,Toronto FC,2-0,2,0,West,East,2,regular,,,,,
2651,2009-09-20,2009,Chicago Fire,Columbus Crew,2-2,2,2,East,East,4,regular,,,,,
2652,2009-09-23,2009,Colorado Rapids,San Jose Earthquakes,1-1,1,1,West,West,2,regular,,,,,
2653,2009-09-26,2009,Columbus Crew,LA Galaxy,2-0,2,0,East,West,2,regular,,,,,
2654,2009-09-26,2009,New England Revolution,Seattle Sounders,2-1,2,1,East,West,3,regular,,,,,
2655,2009-09-26,2009,Sporting Kansas City,Colorado Rapids,0-0,0,0,East,West,0,regular,,,,,
2656,2009-09-26,2009,FC Dallas,Real Salt Lake,3-0,3,0,West,West,3,regular,,,,,
2657,2009-09-26,2009,Chicago Fire,Toronto FC,2-2,2,2,East,East,4,regular,,,,,
2658,2009-09-27,2009,CD Chivas USA,New York Red Bulls,1-1,1,1,West,East,2,regular,,,,,
2659,2009-09-27,2009,DC United,San Jose Earthquakes,1-2,1,2,East,West,3,regular,,,,,
2660,2009-09-30,2009,FC Dallas,New England Revolution,1-0,1,0,West,East,1,regular,,,,,
2661,2009-10-03,2009,LA Galaxy,Chicago Fire,1-0,1,0,West,East,1,regular,,,,,
2662,2009-10-03,2009,DC United,CD Chivas USA,0-2,0,2,East,West,2,regular,,,,,
2663,2009-10-03,2009,Columbus Crew,Seattle Sounders,0-1,0,1,East,West,1,regular,,,,,
2664,2009-10-03,2009,Colorado Rapids,New England Revolution,1-1,1,1,West,East,2,regular,,,,,
2665,2009-10-04,2009,San Jose Earthquakes,New York Red Bulls,1-0,1,0,West,East,1,regular,,,,,
2666,2009-10-04,2009,Houston Dynamo,Sporting Kansas City,1-1,1,1,West,East,2,regular,,,,,
2667,2009-10-08,2009,San Jose Earthquakes,FC Dallas,1-2,1,2,West,West,3,regular,,,,,
2668,2009-10-10,2009,Toronto FC,San Jose Earthquakes,1-1,1,1,East,West,2,regular,,,,,
2669,2009-10-10,2009,New England Revolution,Columbus Crew,0-1,0,1,East,East,1,regular,,,,,
2670,2009-10-11,2009,CD Chivas USA,Sporting Kansas City,2-0,2,0,West,East,2,regular,,,,,
2671,2009-10-15,2009,Real Salt Lake,New York Red Bulls,2-0,2,0,West,East,2,regular,,,,,
2672,2009-10-17,2009,Toronto FC,Real Salt Lake,1-0,1,0,East,West,1,regular,,,,,
